census_no,school_name,school_address,province,district,zone,education_division,school_type,category
22294,BUDURUWAGALA P.V.,"BUDURUWAGALA, WELLAWAYA.",Uva,82.Moneragala,Wellawaya,Wellawaya,4.Type3,provincial
22295,SIYMBALANDUWA P.V.,SIYAMBALANDUWA,Uva,82.Moneragala,Moneragala,Siyambalanduwa,4.Type3,provincial
22296,DOMBAGAHAWELA P.V.,"DOMBAGAHAWELA, MONARAGALA",Uva,82.Moneragala,Moneragala,Siyambalanduwa,4.Type3,provincial
22297,PALLEWELA P.V.,"GOVINDUPURA, MONARAGALA",Uva,82.Moneragala,Moneragala,Siyambalanduwa,4.Type3,provincial
22298,MADIRIYA RAJYANANDA P.V.,"NAKKALA, MONARAGALA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22299,ALUPOTHA MUSLIM P.S.,"ALUPOTHA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22300,GALGAMUWA P.S.,WELLASSA-GALGAMUWA-INGINIYAGALA,Uva,82.Moneragala,Bibile,Madulla,4.Type3,provincial
22301,MUTHUKELIYAWA PRIMARY SCHOOL,"MUTHUKELIYAWA , BUTTALA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22302,VIPULANANDA TAMIL P.V.,"MUPPANEWELI, MONARAGALA",Uva,82.Moneragala,Moneragala,Moneragala,4.Type3,provincial
22303,KOULARA PRAIMARY SCHOOL,KOULARA SEWANAGALA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22304,KUDAOYA P.V.,UVA KUDAOYA,Uva,82.Moneragala,Wellawaya,Wellawaya,4.Type3,provincial
