census_no,school_name,school_address,province,district,zone,education_division,school_type,category
7349,MOTAGEDARA PRIMARY SCHOOL,MOTAGEDARA KEKANADURA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7351,GANDARA MAHA VIDYALAYA,GANDARA,Southern,32.Matara,Matara,Devinuwara,2.1C,provincial
7352,KAPUGAMA KANISHTA VIDYALAYA,KAPUGAMA DEVINUWARA,Southern,32.Matara,Matara,Devinuwara,3.Type2,provincial
7353,SIRIPIYARATHANA K.V.,"GANDARAWATTA,DEVINUWARA",Southern,32.Matara,Matara,Devinuwara,3.Type2,provincial
7354,SARANAPALA K.V.,DEVINUWARA,Southern,32.Matara,Matara,Devinuwara,3.Type2,provincial
7355,WAWWA K.V.,"WAWWA,DEVINUWARA",Southern,32.Matara,Matara,Devinuwara,3.Type2,provincial
7356,GANDARA MODEL PRIMARY SCHOOL,GANDARA,Southern,32.Matara,Matara,Devinuwara,4.Type3,provincial
7359,AL-AZHAR VIDYALAYA,"GANDARA, MATARA",Southern,32.Matara,Matara,Devinuwara,2.1C,provincial
7360,GODAUDA M.V.,"GODAUDA, KOTTAGODA",Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7361,THALALLA SOUTH M.V.,THALLALLA KOTTAGODA,Southern,32.Matara,Matara,Devinuwara,2.1C,provincial
7362,THALALLA NORTH DHARMAWIJAYA M.V.,KEKANADURA,Southern,32.Matara,Matara,Devinuwara,2.1C,provincial
7363,BELIDENIYA M.V.,BELIDENIYA KOTTAGODA,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7364,DELGALLA PRIMARY SCHOOL,"DELGALLA,GANDARA",Southern,32.Matara,Matara,Devinuwara,4.Type3,provincial
7365,NAOTUNNA MIXED K.V.,"NAOTUNNA,KEKANADURA",Southern,32.Matara,Matara,Devinuwara,3.Type2,provincial
7366,NAOTUNNA SOUTH K.V.,"NAOTUNNA,KOTTAGODA",Southern,32.Matara,Matara,Devinuwara,4.Type3,provincial
7367,PATHEGAMA SOUTH SIRISUMANA KANITU VIDYALAYA,KOTTAGODA,Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7368,MALIYADDA VIJAYA VIDYALAYA,MALIYADDA DICKWELLA,Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7373,RADAMPOLA SRI SUMANGALA CENTRAL COLLEGE,RADAMPOLA URUGAMUWA,Southern,32.Matara,Matara,Dikwella,1.1AB,provincial
7374,MURUTHAGASPITIYA M.V.,MURUTHAGASPITIYA URUGAMUWA,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7375,ARANKAHADENIYA KANITU VIDYALAYA,ARANKAHADENIYA URUGAMUWA,Southern,32.Matara,Matara,Dikwella,3.Type2,provincial
7376,DANDENIYA K.V.,"DANDENIYA,RATHMALE",Southern,32.Matara,Matara,Dikwella,3.Type2,provincial
7377,BODARAKANDA RATHANJOTHI K.V.,BODARAKANDA URUGAMUWA DIKWELLA,Southern,32.Matara,Matara,Dikwella,3.Type2,provincial
7378,MEEGASDENIYA P.V.,"MEEGASDENIYA, URUGAMUWA",Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7380,WEHELLA K.V.,WEHELLA URUGAMUWA,Southern,32.Matara,Matara,Dikwella,3.Type2,provincial
7381,IHALAGODA K.V.,IHALAGODA. URUGAMUWA,Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7382,URUGAMUWA METHODIST K.V.,URUGAMUWA,Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7384,DICKWELLA NORTH M.V.,DICKWELLA,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7385,DICKWELLA KUMARATHUNGE MUNIDASA M.V.,"BELIATTA RD, DICKWELLA",Southern,32.Matara,Matara,Dikwella,1.1AB,provincial
7386,DEMATAPITIYA M.V.,WALASGALA,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7387,BAMBARENBDA SADDARMARAJA M.V.,RATHMALE,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7388,BATHEEGAMA M.V.,DICKWELLA,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7389,AKURUBEBILA K.V.,DICKWELLA,Southern,32.Matara,Matara,Dikwella,3.Type2,provincial
7390,THALAHITIYAGODA PARACKRAMA K.V.,RATHMALE,Southern,32.Matara,Matara,Dikwella,3.Type2,provincial
7391,DODAMPAHALA VIDYALAYA,DODAMPAHALA DICWELLA,Southern,32.Matara,Matara,Dikwella,2.1C,provincial
7392,ALUTHGODA K.V.,"ALUTHGODA ,DICKWELLA",Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7393,DIKWELLA METHODIST SAUBHABYA P.V.,"DIKWELLA, MATARA",Southern,32.Matara,Matara,Dikwella,4.Type3,provincial
7397,THALAHAGAMA PRIMARY SCHOOL,"THALAHAGAMA,MAKANDURA.",Southern,32.Matara,Akuressa,Akuressa,4.Type3,provincial
7399,BERALAPANATHARA PRIMARY SCHOOL,BERALAPANATHARA,Southern,32.Matara,Deniyaya,Pasgoda,4.Type3,provincial
7401,DIYANDARA PRIMARY SCHOOL,DEIYANDARA,Southern,32.Matara,Mulatiyana,Mulatiyana,4.Type3,provincial
7402,BENGAMUWA P.S.,BENGAMUWA,Southern,32.Matara,Deniyaya,Pasgoda,4.Type3,provincial
7403,WELIGAMA MUSLIM PRIMARY SCHOOL,GALBOKKA WELIGAMA,Southern,32.Matara,Matara,Weligama,4.Type3,provincial
7404,SIDDHARTH PRIMARY SCHOOL,"PALLEGAMA, KOLAWENIGAMA",Southern,32.Matara,Deniyaya,Kotapola,4.Type3,provincial
7405,ATURALIYA PRIMARY SCHOOL,ATURALIYA,Southern,32.Matara,Akuressa,Akuressa,4.Type3,provincial
7407,KEERTHI SRI PRIMARY SCHOOL,ROTUMBA MATARA,Southern,32.Matara,Deniyaya,Pasgoda,4.Type3,provincial
7408,LUMBINI PRIMARY SCHOOL,WALGAMA MATARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
8003,MEDAGANGODA M.V.,"MEDAGANGODA,WALASMULLA",Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8004,HOREWELA MAHA VIDYALAYA,HOREWELA WALASMULLA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8005,KIRAMA DAMMANANDA M.V.,KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,1.1AB,provincial
8006,WARAPITIYA SECONDARY SCHOOL,RAMMALA WARAPITIYA,Southern,33.Hambantota,Walasmulla,Katuwana,1.1AB,provincial
8007,AMBAGAHAHENA MAHA VIDYALAYA,KARAMETIYA KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8008,WALGAMMULLA M.V.,WALGAMMULLA. KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8009,OMARA M.V.,OMARA WALASMULLA,Southern,33.Hambantota,Walasmulla,Walasmulla,3.Type2,provincial
8011,BOWALA KANISTHTA VIDYALAYA,BOWALA WALASMULLA,Southern,33.Hambantota,Walasmulla,Walasmulla,3.Type2,provincial
8012,RADANIARA MAHA VIDYALAYA,RADANIARA KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8013,AGALABADA KANISHTHA VIDYALAYA,HOREWELAGODA WALASMULLA,Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8014,KEKIRIOBADA M.V.,"KEKIRIOBADA,KIRAMA",Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8015,HANDUGALA M.V.,"HANDUGALA, MATARA",Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8016,EGODABEDDA MAHA VIDYALAYA,EGODABEDDA KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8017,KONKARAHENA KANISHTA VIDYALAYA,KONKARAHENA KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8018,KERADENIYA K.V.,"KERADENIYA, KIRAMA",Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8019,THALAPATH KANDA K.V.,RAMMALA WARAPITIYA,Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8020,THALWATHTHA ABHINAWA K.V.,"THALWATHTHA,KATUWANA.",Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8021,HIGURAKANDA M.V.,HIGURAKANDA KATUWANA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8022,UDAGOMADIYA K.V.,"UDAGOMADIYA, KATUWANA",Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8023,GOMADIYA P.V.,"UDAGOMADIYA, KATUWANA",Southern,33.Hambantota,Walasmulla,Katuwana,4.Type3,provincial
8024,RUKMALPITIYA K.V.,"RUKMALPITIYA,KATUWANA",Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8025,WATHUKANDA K.V.,"WATHUKANDA,KATUWANA",Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8026,WALASMULLA MODEL PRIMARY SCHOOL,WALASMULLA,Southern,33.Hambantota,Walasmulla,Walasmulla,4.Type3,provincial
8027,WEEDIKANDA K.V.,BOWALAGAMA WALASMULLA,Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8029,ALUPOTHDENIYA K.V.,"GANGULANDENIYA,KATUWANA",Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8030,PATHEGAMA P.V.,RAMMALA WARAPITIYA,Southern,33.Hambantota,Walasmulla,Katuwana,4.Type3,provincial
8031,BINTENNA SRI INDARATHANA K.V.,BINTHANNA KIRAMA,Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
8032,SAPUTHANTHRIKANDA P.V.,"RAMMALA, WARAPITIYA",Southern,33.Hambantota,Walasmulla,Katuwana,4.Type3,provincial
8033,RAMMALAKANDA P.V.,RAMMALA VARAPITIYA,Southern,33.Hambantota,Walasmulla,Katuwana,4.Type3,provincial
8034,OBADAGAHADENIYA P.V.,OBADAGAHADENIYA.KATUWANA,Southern,33.Hambantota,Walasmulla,Katuwana,4.Type3,provincial
8035,JINASARANA P.V.,"MEEGAHAHENA,KATUVANA",Southern,33.Hambantota,Walasmulla,Katuwana,4.Type3,provincial
8037,DALUWAGGODA P.V.,DALUWAGGODA WALASMULLA,Southern,33.Hambantota,Walasmulla,Walasmulla,4.Type3,provincial
8039,MULGIRIGALA M.V.,MULGIRIGALA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8040,MORAYAYA M.V.,WEEKANDAWALA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8041,MEEGASARA MAHA VIDYALAYA,JULAMPITIYA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8042,PALLEJULAMPITIYA MAHA VIDYALAYA,PALLEJULAMPITIYA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8043,MIDDENIYA MAHA VIDYALAYA,MIDDENIYA,Southern,33.Hambantota,Walasmulla,Katuwana,1.1AB,provincial
8044,MEDAMULANA D.A.RAJAPAKSHA M.V.,MEDAMULANA,Southern,33.Hambantota,Walasmulla,Walasmulla,1.1AB,provincial
8045,RITIGAHAYAYA MAHA VIDYALAYA,KATUWANA,Southern,33.Hambantota,Walasmulla,Katuwana,2.1C,provincial
8046,ATHUBODE K.V.,ATHUBODE WALASMULLA,Southern,33.Hambantota,Walasmulla,Walasmulla,3.Type2,provincial
8047,KEPPITIYAWA P.V.,WEERAKETIYA,Southern,33.Hambantota,Walasmulla,Walasmulla,4.Type3,provincial
8048,MANDADUWA MAHA VIDYALAYA,"MANDADUWA, WEERAKETIYA",Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8049,HINGURAMULANA SRI PEMANANDA K.V.,"HINGURAMULANA,WEERAKETIYA",Southern,33.Hambantota,Walasmulla,Walasmulla,3.Type2,provincial
8050,ITHTHADEMALIYA MAHA WIDYALAYA,"ITHTHADEMALIYA,WALASMULLA",Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8051,GONADENIYA M.V.,WEERAKETIYA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8052,WEKANDAWALA JANAPADA M.V.,WAKNDAWALA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8053,MURUTHWELA M.V.,WALASMULLA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8054,OKANDAYAYA M.V.,OKANDAYAYA MIDDENIYA,Southern,33.Hambantota,Walasmulla,Walasmulla,2.1C,provincial
8055,KUDAGODA KANISHTHA VIDYALAYA,KARIYAMADITHTHA,Southern,33.Hambantota,Walasmulla,Katuwana,3.Type2,provincial
