census_no,school_name,school_address,province,district,zone,education_division,school_type,category
17069,NIYANGAMA P.V.,KANADENIYAWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17070,PAHALA OGODAPOLA K.V.,PIHIMBUWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17071,MEDAGAMA K.V.,ANHANDIYA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17072,MIRISSALA K.V.,PIHIMBUWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17073,MORATHIHAP.V.,MORATHIHA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17074,RATHVITA P.V.,IHALA RATHVITA GOKARELLA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17075,RANTHATI KAMDA P.V.,PANAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17076,RIDEEVIHARA M.V.,RIDEEGAMA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17077,REDDAGODA K.V.,REDDAGODA RIDEGAMA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17078,UDANVITA M.V.,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17079,KALUGAHATHENNA P.V.,DELVITA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17080,KIRIBATHGALLA K.V.,DELVITA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17081,BALAWATHTHALA P.V.,DODAMGASLANDA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17082,ALAWALA K.V.,AMBAKOTE,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17085,NELAULLA P.V.,PIHIMBUWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17086,DODAMGASLANDA RAJAKEEYA VIDYALAYA,NILANTHATTUWA RIDIGAMA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17087,PUSSELLA P.V.,PUSSELLA PUSSELITHENNA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17088,BULUWALAKANDA P.V.,BULUWALA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17089,LIHINIWEHERA P.V.,DODAMGASLANDA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17090,DUNUMAWA P.V.,IRIYAGOLLA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17093,UDAHOROMBUWA P.V.,UDAHOROMBUWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17096,THALAMPITIYA P.V.,KOHILEGEDARA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17097,THIRAGAMA M.V.,KOHILEGEDARA,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
