census_no,school_name,school_address,province,district,zone,education_division,school_type,category
16305,SHIVANANTHA JUNIOR VIDYALAYAM,ECHCHILAKPATTU,Eastern,53.Trincomalee,Muttur,Echchilampattu,4.Type3,provincial
16306,ELANGAITHURAIMUGATHUWARAM JUNIOR SCHOOL,EACHCHILAMPATTU,Eastern,53.Trincomalee,Muttur,Echchilampattu,4.Type3,provincial
16307,"KARUMALAIYOOTHU,MUSLIM VIDYALAYAM","VELLAIMANAL, CHINABAY, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Trincomalee Town,4.Type3,provincial
16308,ABHAYAPURA PRIMARY SCHOOL,"THULSIPURA, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Trincomalee Town,4.Type3,provincial
16309,VISHWA PRATHIBHA P.V.,GOMARANKADAWALA,Eastern,53.Trincomalee,Trincomalee North,Gomarankadawala,4.Type3,provincial
16310,SWARNAJAYANTHI P.V.,"1ST STAGE, MAHADIULWEWA, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee North,Morawewa,4.Type3,provincial
16311,ABOOBUCKER M.P. VIDYALAYAM,PANICHCHADY AARU KINNIYA,Eastern,53.Trincomalee,Kinniya,Kurinchakerny,4.Type3,provincial
16312,DR. K.M.H. KALIDEEN VIDYALAYAM,WATTAMADU MANIYARASAN KULAM KINNIYA,Eastern,53.Trincomalee,Kinniya,Kurinchakerny,4.Type3,provincial
16313,THOWFEEK VIDYALAYAM,PANICHCHAM KULAM AYLIYADY KINNIYA,Eastern,53.Trincomalee,Kinniya,Kurinchakerny,4.Type3,provincial
16314,AL-IRFAN JUNIOR VIDYALAYAM,FAIZAL NAGAR KINNIYA,Eastern,53.Trincomalee,Kinniya,Kinniya,4.Type3,provincial
16315,ROYAL JUNIOR SCHOOL,THOPPUR,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16316,MUTHUR NAJEEB ABDUL MAJEED VIDYALAYAM,"KNOX ROAD, MUTHUR-05",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16317,WANELA JUNIOR SCHOOL,WANELA KANTALE,Eastern,53.Trincomalee,Kantale,Kantale,4.Type3,provincial
16318,NAVATCHOLAI JUNIOR SCHOOL,"NAVATCHOLAI, KUMPURUPIDDY, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16319,A.M.M. MUSTHAFA VIDYALAYAM,VILVELI KINNIYA,Eastern,53.Trincomalee,Kinniya,Kurinchakerny,4.Type3,provincial
16320,AL-AQSHA PRIMARY SCHOOL,SINNA KINNIYA KINNIYA,Eastern,53.Trincomalee,Kinniya,Kinniya,4.Type3,provincial
16321,IQRA VIDYALAYAM,BATTICALOA ROAD KINNIYA,Eastern,53.Trincomalee,Kinniya,Kinniya,3.Type2,provincial
16322,YOOSUFF VIDYALAYAM,POOVARASAN THEEVU,Eastern,53.Trincomalee,Kinniya,Kurinchakerny,4.Type3,provincial
16323,AN-NOORIYA JUNIOR SCHOOL,"WARD NO.4, KUCHCHAVELI, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16324,ATHY AMMANKENY VIDYALAYAM,ATHYAMMANKENY LINGAPURAM KILIVEDDY,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16325,KONESAPURI TAMIL VIDYALAYAM,"NILAVELI, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16326,AL-THARIQUE JUNIOR VIDYALAYA,"PERARU 01, KANTALE",Eastern,53.Trincomalee,Kantale,Kantale,4.Type3,provincial
16327,KOOFA VIDYALAYAM,MAJEED NAGAR MUTUR-05,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16328,AL-HAMRA MUSLIM BOYS' SCHOOL,"WARD NO.04, IRAKKAKANDY, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,3.Type2,provincial
16329,CHENAIYOOR JUNIOR SCHOOL,"CHENAIYOOR-06, KADDAIPARICHAN, MUTUR-",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16330,AL-HILAL JUNIOR SCHOOL,"NEW JETTY ROAD, MUTUR-01",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16331,THAIB NAGAR MUSLIM VIDYALAYAM,"THAIB NAGAR, THAMPALAGAMAM",Eastern,53.Trincomalee,Kinniya,Mullipothana,4.Type3,provincial
16332,SRI RAMAKRISHNA TAMIL VIDYALAYAM,"VILANKULAM, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Thampalakamam,4.Type3,provincial
16333,VELLAIMANAL P.V.,"VELLAIMANAL, CHINABAY, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Trincomalee Town,4.Type3,provincial
