census_no,school_name,school_address,province,district,zone,education_division,school_type,category
19335,MUDUNEGAMA M.V.,MUDUNEGAMA TALAWA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,2.1C,provincial
19336,GALNEWA M.M.V.,GALNEWA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,1.1AB,provincial
19337,KAGAMA DATHUSENA M.V.,KAGMA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,2.1C,provincial
19338,NEGAMPAHA MAHA VIDYALAYA,NEGAMPAHA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,2.1C,provincial
19339,VIJITHAPURA MAHA V.,VIJITHAPURA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,2.1C,provincial
19340,KALANKUTTIYA M.V.,KALANKUTTIYA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,2.1C,provincial
19341,IHALABULNEWA V.,BULNEWA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,3.Type2,provincial
19343,KATHTHARAGAMA P.V.,"KATHTHARAGAMA, GALNEWA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19344,KANDULUGAMUWA VIDYALAYA,"KANDULUGAMUWA, NEGAMPAHA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,3.Type2,provincial
19345,GALNEWA P.V.,GALNEWA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19346,NEGAMA SIRISUMANA VIDYALAYA,NEGAMPAHA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,3.Type2,provincial
19347,NELUMPATHGAMA P.V.,"SIYABALEWA, NEGAMPAHA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19348,PALUGASWEWA GAMINI VIDYALAYA,VIJITHAPURA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,4.Type3,provincial
19349,KALANKUTTIYA PRAIMARI SCHOOL,"KALANKUTTIYA, GALNEWA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19350,MAKULEWA MAHA VIDYALAYA,HURIGASWEWA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,2.1C,provincial
19352,WALAWEGAMA V.,VIJITHAPURA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,4.Type3,provincial
19353,WALASWEWA PRAIMARI SCHOOL,"WALASWEWA, NEGAMPAHA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19354,HANDUNGAMA VIDYALAYA,"SIRIMAGAMA, AUKANA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19355,HABARAWATTHA WETAKOLUWAGAMA VIDYALAYA,NEGAMPAHA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19356,HALMILLEWA SIRI SEEWALI MAHA VIDYALAYA,SENAPURA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,2.1C,provincial
19357,HURIGASWEWA VIDYALAYA,MEEGALEWA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19358,USGALA P.V.,"USGALA, HALMILLEWA, GALNEWA",North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19359,THALAKOLAWEWA JAYAMAWATHA PRIMARY SCHOOL,HURIGASWEWA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,4.Type3,provincial
19360,MAWATHTHEGAMA P.V.,KALANKUTTIYA,North Central,71.Anuradhapura,Thambuttegama,Galnewa,4.Type3,provincial
19362,IPALOGAMA GANTHIRIYAGAMA M.V.,"GANTHIRIYAGAM, IPALOGAMA.",North Central,71.Anuradhapura,Kekirawa,Ipalogama,1.1AB,provincial
19363,MARADANKADAWALA SRI RAHULA M.V,MARADANKADAWALA,North Central,71.Anuradhapura,Kekirawa,Kekirawa,2.1C,provincial
19364,WALAGAMBAHUWA M.V.,"WALAGAMBAHUWA, MARADANKADAWALA.",North Central,71.Anuradhapura,Kekirawa,Thirappane,2.1C,provincial
19365,PERIYAKULAMA M.V.,MARADANKADAWALA.,North Central,71.Anuradhapura,Kekirawa,Thirappane,2.1C,provincial
19366,KARABEWA M.V.,RAMBEWEWA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,2.1C,provincial
