census_no,school_name,school_address,province,district,zone,education_division,school_type,category
24579,THULHIRIYA DHARMASIRI SENANAYAKE M.V.,THULHIRIYA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,1.1AB,provincial
24580,MAHENA K.V.,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24581,OTHNAPITIYA K.V.,NELUNDENIYA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24582,ILIPANGAMUWA K.V.,"ILIPANGAMUWA, THOLANGAMUWA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24583,MANGEDARA K.V.,MANGEDARA THULHIRIYA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24584,NANGALLA MUSLIM M.V.,THULHIRIYA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24585,THULHIRIYA P.V.,THULHIRIYA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24586,DELGAMUWA P.V.,"DELGAMUWA, THOLANGAMUWA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24589,ETHNAWALA M.V.,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24590,NIWATUWA M.V.,"NIWATUWA, WARAKAPOLA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24591,DORAWAKA SIRINIWASA M.V.,DORAWAKA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24592,BABUL HASSEN M.V.,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,1.1AB,provincial
24593,BOPITIYA P.V.,"BOPITIYA(SABARA), WARAKAPOLA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24594,GANEGAMA K.V.,DORAWAKA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24595,WARAKAPOLA GAMINI M.V.,"DUMMALADENIYA, WARAKAPOLA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24596,DUMMALADENIYA MUSLIM V.,DUMMALADENIYA WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24597,WARAKAPOLA BAUDDHA VIDYALAYA,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24598,MAINNOLUWA M.V.,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24599,DORAWAKA MAHASEN K.V.,"THALLIYADDA, DORAWAKA, WARAKAPOLA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24600,MADENIYA TAMIL V.,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24601,DORAWAKA MADENIYA TAMIL V.,DORAWAKA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24602,KOHOMBADENIYA P.V.,KOHAMBADENIYA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24603,ALGAMA M.M.V.,ALGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24604,GODAWELA SRI PRAGNANANDA M.V.,DANOWITA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
24605,ALGAMAWATHTHA P.V.,DANOWITA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24607,UDUWAKA K.V.,ALGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24608,KANDEGAMA SRI PARAKRAMA V.,KANDEGAMA ALGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
