census_no,school_name,school_address,province,district,zone,education_division,school_type,category
5448,KOSGAHADEBALA PRIMARY SCHOOL,"KOSGAHADEBALA, PALLEBOWALA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5449,GANNEWA KANISHTA VIDYALAYA,"GANNEWA, UDAGAMA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5450,DOLUGALA PRIMARY SCHOOL,RIKILLAGSKADA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5452,DEEPALOKA PRIMARY SCHOOL,"MUDUNAPITIYA, GONAGANTHANNA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5453,MAKEMPE PRIMARY SCHOOL,PALLEBOWALA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5455,HANGURANKETHA C.C. VIDYALAYA,HANGURANKETHA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5458,DENIKE SECONDARY SCHOOL,"DENIKE, RIKILLAGASKADA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,1.1AB,provincial
5459,PADIYAPELELLA SECONDARY SCHOOL,PADIYAPELELLA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,2.1C,provincial
5460,MATHURATA MAHA VIDYALAYA,MATHURATA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,2.1C,provincial
5462,UDAWELA MAHA VIDYALAYA,MANDARAMNUWARA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,2.1C,provincial
5463,KATAYAPATHANA VIDYALAYA,"KATAYAPATHANA, MATHURATA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5464,GONAKELE KANISHTA VIDYALAYA,"GONAKELE, KANDAPOLA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5465,DEEGALAHINNA MAHA VIDYALAYA,"DEEGALAHINNA, ELAMULLA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,2.1C,provincial
5466,DEHIPE KANISHTA VIDYALAYA,DEHIPE,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5467,DUNUKEBEDDA KANISHTA VIDYALAYA,MATHURATA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5468,PALLEWELA KANISHTA VIDYALAYA,RIKILLAGASKADA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5469,BOGAMUWA KANISHTA VIDYALAYA,"BOGAMUWA, RIKILLAGASKADA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
