census_no,school_name,school_address,province,district,zone,education_division,school_type,category
14271,KARUNKALICHOLAI SRIKRISHNA VIDYALAYAM,"KARUNKALICHOLAI, PETHALAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14273,VINAYAGAPURAM VINAYAGAR VIDYALAYA,"VINAYAGARPURAM, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14274,KORALANKERNY THIRUMAKAL VIDYALAYAM,KORALANKERNY MURAKKADDANCHENAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14275,PARANGIYAMADU BHARATHY VIDYALAYAM,PARANGIYAMADU KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14276,MURUKANTHEEVU SIVASAKTHI VIDYDLAYAM,KINNAIYADY VALAICHENAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14277,PULIPAINTHAKAL G.T.M.S.,KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14278,KUDUMBIMALAI KUMARAN VIDYALAYAM,KUDUMBIMALAI KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14279,THARAVAI SRI KALAIVANI VIDYALAYAM,THARAVAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14280,SIRUTHENKAL SITHTHYVINAYAGAR VIDYALAYAM,KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14281,MURUTHANAI SRI MURUGAN VIDYALAYA,MURUTHANAI KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14282,VADAMUNAI G.T.M.S.,VADAMUNAI KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14283,KALUTHAVALAI VIPULANANTHA VIDYALAYAM,"SRI MURUKAN KOVIL ROAD, KALUTHAVALAI-05",Eastern,51.Batticaloa,Paddrippu,Manmunai South & Eruvil Pattu,4.Type3,provincial
14284,THURAINEELAVANAI VIPULANANDA VIDYALAYAM,THURAINEELAVANAI-08,Eastern,51.Batticaloa,Paddrippu,Manmunai South & Eruvil Pattu,4.Type3,provincial
14285,ODDAMAVADY FATHIMA BALIKA MAHA VIDYALAYA,"MPCS ROAD, ODDAMAVADY 02",Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,1.1AB,provincial
14286,MAVADICHENAL AL-IQBAL VIDYALAYAM,VALAICHENAI,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,4.Type3,provincial
14287,MANCHOLAI AL HIRA VIDYALAYA,MANCHOLAI MEERAVODAI,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,4.Type3,provincial
14288,RETHITHENNA IQRAH VIDYALAYAM,PUNANI,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,2.1C,provincial
14289,KERNY NAGAR MADEENA VIDYALAYAM,VAHANERY,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,3.Type2,provincial
14290,BRAINTHURAICHENAI SATHULIYA VIDYALAYA,"PANSALA ROAD, BRAINTHURAICHENAI, VAALAICHENAI",Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,3.Type2,provincial
14292,MAVETKUDA VIGNESWARA VIDYALAYAM,THIRUPALUGAMAM,Eastern,51.Batticaloa,Paddrippu,Porativu Pattu,4.Type3,provincial
